Bandit,Reward,Algorithm
2.0,1.6809273383813261,ThompsonSampling
2.0,3.0404069688450117,ThompsonSampling
2.0,3.594618225820132,ThompsonSampling
2.0,3.1596124868157043,ThompsonSampling
2.0,3.2870352600748682,ThompsonSampling
2.0,2.761487699320008,ThompsonSampling
2.0,2.681011214979897,ThompsonSampling
2.0,2.932386577908156,ThompsonSampling
2.0,2.7243420484353016,ThompsonSampling
2.0,3.7548953901125417,ThompsonSampling
2.0,2.1076951004447655,ThompsonSampling
2.0,2.5721854290009616,ThompsonSampling
2.0,2.209595860853516,ThompsonSampling
2.0,4.594182130400458,ThompsonSampling
2.0,3.3064596056444597,ThompsonSampling
2.0,2.8421446954012493,ThompsonSampling
2.0,3.021880126355768,ThompsonSampling
2.0,3.9332807120215527,ThompsonSampling
2.0,2.424848918110539,ThompsonSampling
2.0,3.5174868779520834,ThompsonSampling
2.0,4.465118949314017,ThompsonSampling
2.0,1.9516187753693701,ThompsonSampling
2.0,4.265873631924035,ThompsonSampling
2.0,3.9721734605830217,ThompsonSampling
2.0,3.397404578334223,ThompsonSampling
2.0,4.399074471637111,ThompsonSampling
2.0,3.506970881541624,ThompsonSampling
2.0,4.487253258312522,ThompsonSampling
2.0,4.03466254649102,ThompsonSampling
2.0,2.6958638796446133,ThompsonSampling
2.0,1.939177592060994,ThompsonSampling
2.0,3.5228133139767053,ThompsonSampling
2.0,3.8991548411978645,ThompsonSampling
2.0,4.409848505879874,ThompsonSampling
2.0,3.7656257660666537,ThompsonSampling
2.0,2.185705899282888,ThompsonSampling
2.0,1.350344894330418,ThompsonSampling
2.0,4.148077697546521,ThompsonSampling
2.0,2.1412972443275455,ThompsonSampling
2.0,4.27361516599642,ThompsonSampling
2.0,2.0414736757390566,ThompsonSampling
2.0,5.576811076941472,ThompsonSampling
2.0,4.124913340452313,ThompsonSampling
2.0,2.150757966383037,ThompsonSampling
2.0,1.8538844877706533,ThompsonSampling
2.0,2.978478111586962,ThompsonSampling
2.0,3.53564344011889,ThompsonSampling
2.0,2.8472641336783306,ThompsonSampling
2.0,2.9737667567028883,ThompsonSampling
2.0,0.7349844667936467,ThompsonSampling
2.0,2.3546888040338225,ThompsonSampling
2.0,2.242717866384771,ThompsonSampling
2.0,2.506581673485147,ThompsonSampling
2.0,2.2162726428687787,ThompsonSampling
2.0,2.4201157011236933,ThompsonSampling
2.0,3.130499587279854,ThompsonSampling
2.0,2.8018425029210903,ThompsonSampling
2.0,1.1965228733042856,ThompsonSampling
2.0,2.5436072617680945,ThompsonSampling
2.0,4.709459873302645,ThompsonSampling
2.0,2.2784364494492406,ThompsonSampling
2.0,2.6476488177936597,ThompsonSampling
2.0,3.707113734558271,ThompsonSampling
2.0,2.2914957895174606,ThompsonSampling
2.0,2.239011001512393,ThompsonSampling
2.0,3.7087348742083797,ThompsonSampling
2.0,4.641860926669445,ThompsonSampling
2.0,2.82336684387642,ThompsonSampling
2.0,2.7242754409629146,ThompsonSampling
2.0,1.892368744247863,ThompsonSampling
2.0,3.889352527179637,ThompsonSampling
2.0,1.9855481494833942,ThompsonSampling
2.0,3.2708014623617596,ThompsonSampling
2.0,3.804383551886426,ThompsonSampling
2.0,4.625516707604583,ThompsonSampling
2.0,3.8017241351822912,ThompsonSampling
2.0,3.6607343476674092,ThompsonSampling
2.0,4.640011150303001,ThompsonSampling
2.0,4.017205409311745,ThompsonSampling
2.0,2.604514009241367,ThompsonSampling
2.0,1.3627783701414553,ThompsonSampling
2.0,4.041451717497212,ThompsonSampling
2.0,3.3189485548775615,ThompsonSampling
2.0,2.3912925119762027,ThompsonSampling
2.0,4.313564959459125,ThompsonSampling
2.0,3.567909826104989,ThompsonSampling
2.0,4.3247614920166555,ThompsonSampling
2.0,3.917102586168004,ThompsonSampling
2.0,2.6147324617641385,ThompsonSampling
2.0,3.316297934177143,ThompsonSampling
2.0,1.6606426666832217,ThompsonSampling
2.0,2.3407726955691524,ThompsonSampling
